Filesystem Size Used Avail Use% Mounted on

devtmpfs 7.8G 0 7.8G 0% /dev

tmpfs 7.8G 0 7.8G 0% /dev/shm

tmpfs 7.8G 2.4M 7.8G 1% /run

tmpfs 7.8G 0 7.8G 0% /sys/fs/cgroup

/dev/nvme0n1p1 100G 4.8G 96G 5% /

tmpfs 15G 12K 15G 1% /var/lib/kubelet/pods/bf0e0340-614f-420c-9175-d620332ef8e8/volumes/kubernetes.io~projected/kube-api-access-krmft

tmpfs 768M 12K 768M 1% /var/lib/kubelet/pods/9d5e8f35-4dc8-4e94-bc6c-7de37b1264fa/volumes/kubernetes.io~projected/kube-api-access-jwl92

tmpfs 200M 12K 200M 1% /var/lib/kubelet/pods/d42350c5-0b16-46ac-83db-cc0315a538bc/volumes/kubernetes.io~projected/kube-api-access-pbzgs

tmpfs 15G 12K 15G 1% /var/lib/kubelet/pods/6db91b7b-255e-4231-9e7e-9e1372eeba11/volumes/kubernetes.io~projected/kube-api-access-nrz74

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/1b467013564eedf86026263fce60e0811568e972418df58a903b20014d974702/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/79e40a04f5b0dee8a9858583e59db8d5e1ecb55957098c19325382a116611e2a/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/17b6f9e1753dbc16c39e07c79a4deebf5d20b162ac34e6b0ebe83310c3aac77b/merged

shm 64M 0 64M 0% /var/lib/docker/containers/78fbe6e1cbb4a9a075b56df9e09308ff1c6eed81822e532b94bba7853ac92173/mounts/shm

shm 64M 0 64M 0% /var/lib/docker/containers/760a7372ccee1a608f5a7c375ad59fa666ef98c0a4e8df8113af18a041443cc0/mounts/shm

shm 64M 0 64M 0% /var/lib/docker/containers/9eeb97a1ff3520fb93433d214f09672b83bacc75ce7011659d6d5a38dfa42976/mounts/shm

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/6dc8a66bfa32253b3b3dfad08efc430d28ede284c754aea22edb322f690fa074/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/e180490d49b91f7d9654b1fa55abedcda274e83602f466f6f16bfeb78e580086/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/7df10f7c189e6227a5219b6a01736e0dad3ada1d7febc2ff2fdaf54ac44fbbf1/merged

tmpfs 512M 24K 512M 1% /var/lib/kubelet/pods/d66ac032-3d1d-492a-9d5f-82cde304f8bf/volumes/kubernetes.io~secret/certificates

tmpfs 15G 12K 15G 1% /var/lib/kubelet/pods/c7449949-22ab-4648-b483-71cccd540f99/volumes/kubernetes.io~projected/kube-api-access-c7hgf

tmpfs 512M 12K 512M 1% /var/lib/kubelet/pods/d66ac032-3d1d-492a-9d5f-82cde304f8bf/volumes/kubernetes.io~projected/kube-api-access-5d586

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/58ee00417eec947c14f715a42c57e20e680cb6a4f36dcedb5c68edb33d525a72/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/3064c88a1aff0288054c57500ff2f11db3ccb61dcee8b5c4882cf115a953ace1/merged

shm 64M 0 64M 0% /var/lib/docker/containers/e9ef5a9348663c62b0771cf327fcea622a03f03428bc8a93fe30562bb7257800/mounts/shm

shm 64M 0 64M 0% /var/lib/docker/containers/737507b7753abb687153bd9156a2419153e7c33cfb98ead4d426bcd38e133bc9/mounts/shm

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/c65d419090f3319994dece153c595f5c758ac2420b60c16608a80b0f1b8ae545/merged

shm 64M 0 64M 0% /var/lib/docker/containers/e4f83d4cb809f2f6cb2224d7529ef0ed1ae264a9ef551b25a1cdc1faa7a6125b/mounts/shm

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/1ec0f4fa19c6a35ebf8798d720eb131a80c5224812c8f84eae2b16ae02cb8b7f/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/79fe190197b3837a8dd0d124832cdda7c49383f9a30157f8ee8ef0aa0fee97b7/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/23f1bf466cc00e32d9a1f4d0a54afd2b177413eacdb827721c3a556451a38ec8/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/d148037dedab725af94eb37add442623ad5654953abef2af5b5cd1930e104f06/merged

tmpfs 3.3G 24K 3.3G 1% /var/lib/kubelet/pods/c4d2af37-cb42-4355-9407-6be27c4c1e8d/volumes/kubernetes.io~empty-dir/istio-envoy

tmpfs 3.3G 8.0K 3.3G 1% /var/lib/kubelet/pods/c4d2af37-cb42-4355-9407-6be27c4c1e8d/volumes/kubernetes.io~secret/mongocertpa-volume

tmpfs 3.3G 8.0K 3.3G 1% /var/lib/kubelet/pods/c4d2af37-cb42-4355-9407-6be27c4c1e8d/volumes/kubernetes.io~downward-api/istio-podinfo

tmpfs 3.3G 12K 3.3G 1% /var/lib/kubelet/pods/c4d2af37-cb42-4355-9407-6be27c4c1e8d/volumes/kubernetes.io~secret/certspdb-volume

tmpfs 3.3G 12K 3.3G 1% /var/lib/kubelet/pods/c4d2af37-cb42-4355-9407-6be27c4c1e8d/volumes/kubernetes.io~projected/kube-api-access-cf7s5

tmpfs 3.3G 4.0K 3.3G 1% /var/lib/kubelet/pods/c4d2af37-cb42-4355-9407-6be27c4c1e8d/volumes/kubernetes.io~projected/istio-token

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/564c7dd3df4ef8add97ffd645889de31a61c794a73db44bc00f1f2a41d7dfbdd/merged

shm 64M 0 64M 0% /var/lib/docker/containers/b80fb1bbde2b62027a8d10e26328de6e89808799bc949f09ec39ba432eaea49b/mounts/shm

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/85f5f9aae551d84440439a230f0655c7699119bf79baf2a318f21cdb536a1356/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/e690e36c66aef87198c748c01e7b3bdb39bf84a9ae29c8ffa0e6794eb2a14c30/merged

overlay 100G 4.8G 96G 5% /var/lib/docker/overlay2/8c373d61a318149f1ba819604a9265dc695e16d2567def7f79aa61ed1230d8a2/merged

tmpfs 500M 0 500M 0% /var/lib/kubelet/pods/f69549cf-50df-4201-a5cf-dd97b37c115f/volumes/kubernetes.io~secret/ingressgateway-certs

tmpfs 3.0G 24K 3.0G 1% /var/lib/kubelet/pods/ee45d0f7-05bb-49a5-866f-16a731275abb/volumes/kubernetes.io~empty-dir/istio-envoy

tmpfs 500M 0 500M 0% /var/lib/kubelet/pods/f69549cf-50df-4201-a5cf-dd97b37c115f/volumes/kubernetes.io~secret/ingressgateway-ca-certs

tmpfs 500M 8.0K 500M 1% /var/lib/kubelet/pods/f69549cf-50df-4201-a5cf-dd97b37c115f/volumes/kubernetes.io~downward-api/podinfo

tmpfs 500M 8.0K 500M 1% /var/lib/kubelet/pods/3852a8e3-fa48-4e5c-a821-6d47ea3ec82d/volumes/kubernetes.io~downward-api/podinfo

tmpfs 500M 0 500M 0% /var/lib/kubelet/pods/3852a8e3-fa48-4e5c-a821-6d47ea3ec82d/volumes/kubernetes.io~secret/ingressgateway-ca-certs

tmpfs 3.0G 8.0K 3.0G 1% /var/lib/kubelet/pods/ee45d0f7-05bb-49a5-866f-16a731275abb/volumes/kubernetes.io~downward-api/istio-podinfo

tmpfs 500M 0 500M 0% /var/lib/kubelet/pods/3852a8e3-fa48-4e5c-a821-6d47ea3ec82d/volumes/kubernetes.io~secret/ingressgateway-certs

tmpfs 3.0G 4.0K 3.0G 1% /var/lib/kubelet/pods/ee45d0f7-05bb-49a5-866f-16a731275abb/volumes/kubernetes.io~projected/istio-token

tmpfs 500M 4.0K 500M 1% /var/lib/kubelet/pods/3852a8e3-fa48-4e5c-a821-6d47ea3ec82d/volumes/kubernetes.io~projected/istio-token

tmpfs 500M 4.0K 500M 1% /var/lib/kubelet/pods/f69549cf-50df-4201-a5cf-dd97b37c115f/volumes/kubernetes.io~projected/istio-token

tmpfs 500M 12K 500M 1% /var/lib/kubelet/pods/3852a8e3-fa48-4e5c-a821-6d47ea3ec82d/volumes/kubernetes.io~projected/kube-api-access-4ftv7

tmpfs 500M 12K 500M 1% /var/lib/kubelet/pods/f69549cf-50df-4201-a5cf-dd97b37c115f/volumes/kubernetes.io~projected/kube-api-access-jvctp

tmpfs 3.0G 12K 3.0G 1% /var/lib/kubelet/pods/ee45d0f7-05bb-49a5-866f-16a731275abb/volumes/kubernetes.io~projected/kube-api-access-9bfvk

tmpfs 3.0G 8.0K 3.0G 1% /var/lib/kubelet/pods/a8a1ea0a-4e4f-4b0b-a077-c0eedd99a70a/volumes/kubernetes.io~downward-api/istio-podinfo

tmpfs 3.0G 24K 3.0G 1% /var/lib/kubelet/pods/a8a1ea0a-4e4f-4b0b-a077-c0eedd99a70a/volumes/kubernetes.io~empty-dir/istio-envoy

tmpfs 3.0G 4.0K 3.0G 1% /var/lib/kubelet/pods/a8a1ea0a-4e4f-4b0b-a077-c0eedd99a70a/volumes/kubernetes.io~projected/istio-token

